,store,predictions,worst_scenario,best_scenario,MAE,MAPE
0,1,162606.31,162299.56757416597,162913.05742583403,306.74492583403605,0.07018338640261788
1,2,170870.98,170449.57485219595,171292.39389780405,421.4095228040549,0.08738031151262299
2,3,262130.97,261543.96847946578,262717.9690205342,587.0002705342063,0.08467313928799929
3,4,345748.7,344893.119074641,346604.255925359,855.5684253589521,0.0814512895262606
4,5,171662.05,171299.25368520376,172024.84006479624,362.79318979624134,0.07936913872230603
5,6,175184.98,174864.4195061761,175505.5492438239,320.56486882390135,0.0705590662422605
6,7,341094.56,340278.3497281461,341910.7752718539,816.2127718538854,0.07802415213637859
7,8,212488.47,211796.47162030195,213180.46587969805,691.9971296980569,0.1046620999382127
8,9,280761.16,280050.7501187711,281471.5623812289,710.406131228885,0.10185191618222071
9,10,203978.27,203378.7384264147,204577.7928235853,599.5271985853033,0.10170540935881592
10,11,273864.7,273305.2222075591,274424.1527924409,559.4652924408783,0.07513824534642899
11,12,280589.22,279894.6363096495,281283.8011903505,694.5824403505068,0.08956527259598372
12,13,182295.25,181490.6009884396,183099.8990115604,804.6490115603891,0.14570155133946772
13,14,202147.9,201667.50663798564,202628.30586201436,480.39961201435744,0.08933433554091752
14,15,260897.83,260356.1856920397,261439.4705579603,541.6424329603038,0.07957768626338942
15,16,291070.16,290500.7241474873,291639.5883525127,569.4321025126698,0.07059194841174914
16,17,226427.66,225953.97925464527,226901.33324535473,473.67699535472985,0.08683232276849619
17,18,267162.56,266647.8244826858,267677.3005173142,514.7380173141885,0.07906573608280344
18,19,242383.58,241868.24854835303,242898.90770164697,515.3295766469593,0.08063496868833318
19,20,298534.78,297447.0644399282,299622.4980600718,1087.7168100717902,0.12979251531422542
20,21,206185.69,205616.95501873945,206754.41998126055,568.7324812605583,0.0900540524647821
21,22,170730.69,170246.95323057432,171214.42176942568,483.73426942567596,0.09679920699781878
22,23,206047.23,205604.6170159417,206489.8517340583,442.61735905827675,0.08194308435922783
23,24,370726.1,369854.9119246199,371597.2755753801,871.1818253800676,0.09355296338277577
24,25,383206.5,382275.65840107686,384137.34159892314,930.8415989231421,0.08826226754932916
25,26,247136.66,246589.11932538007,247684.19317461993,547.5369246199326,0.07805468931567959
26,27,358249.84,357219.4220597551,359280.2654402449,1030.4216902449323,0.11115664799172854
27,28,166255.75,165798.64310599663,166712.85689400337,457.10689400337816,0.11419606231699907
28,29,283109.38,282304.5664590372,283914.1835409628,804.8085409628386,0.10264984461049063
29,30,164817.3,164254.23261982686,165380.36113017314,563.0642551731416,0.14505958424933343
30,31,215904.17,215554.06784470016,216254.27590529984,350.1040302998309,0.05982444472452164
31,32,151056.42,150655.98860457138,151456.85514542862,400.433270428632,0.09195842874671427
32,33,301242.03,300476.73417704814,302007.32832295186,765.297072951856,0.09530675923379273
33,34,291238.2,290599.71831450594,291876.65668549406,638.4691854940888,0.07543488098070449
34,35,422675.66,421324.01760451857,424027.29489548143,1351.6386454814194,0.12408100359011592
35,36,347907.72,346840.2087204392,348975.2287795608,1067.5100295608106,0.10561721205835671
36,37,236354.42,235844.46143897803,236864.38231102197,509.9604360219584,0.07485055248723352
37,38,212980.73,212428.02697423985,213533.44177576015,552.707400760135,0.08582337101512273
38,39,203739.47,202916.76404138515,204562.17345861485,822.7047086148644,0.18594775350818646
39,40,158591.52,158173.32541965795,159009.70583034205,418.19020534206084,0.09649580206427653
40,41,227833.69,227178.53341427364,228488.84158572636,655.1540857263508,0.1216069798319378
41,42,376282.4,375243.714777766,377321.097722234,1038.6914722339525,0.10176622883588238
42,43,231825.22,231296.39762589737,232354.03987410263,528.8211241026179,0.08399516501442734
43,44,194994.39,194580.44750316723,195408.33374683277,413.94312183277003,0.09307209749633528
44,45,188935.8,188416.48139252534,189455.11235747466,519.315482474662,0.09169307799186555
45,46,207510.14,206819.96980574325,208200.31144425675,690.1708192567571,0.13764035343717143
46,47,275111.1,274529.3119853252,275692.8755146748,581.7817646748305,0.08013999691244669
47,48,130530.04,130273.37955949114,130786.69856550886,256.65950300886834,0.078224969185444
48,49,278699.72,278180.06442673143,279219.37307326857,519.6543232685794,0.06657390330169739
49,50,159803.45,159385.29265202704,160221.61359797296,418.1604729729724,0.09180315785221498
50,51,264838.06,264114.8234137458,265561.3015862542,723.239086254223,0.1020635975183706
51,52,244089.88,243577.72160050675,244602.02839949325,512.1533994932428,0.07699586135581735
52,53,194477.31,194067.75066643793,194886.87433356207,409.5618335620778,0.08432397949589315
53,54,290283.88,289809.6435019003,290758.1064980997,474.2314980996629,0.06516726090108507
54,55,172468.2,171977.62253879858,172958.78371120142,490.5805862014359,0.10200931671896671
55,56,297100.6,296375.69527290965,297825.49222709035,724.8984770903717,0.08731481225357968
56,57,332631.4,331754.6983873522,333508.1141126478,876.7078626478027,0.10447554327589435
57,58,257415.89,256540.19500897382,258291.58624102618,875.6956160261818,0.1180323753449509
58,59,201274.66,200782.84135478252,201766.47114521748,491.8148952174832,0.10698723519203623
59,60,299257.56,298295.4574799409,300219.6675200591,962.1050200591214,0.09987603563121777
60,61,182735.83,182049.13138724663,183422.52486275337,686.696737753378,0.11536885915908097
61,62,236511.02,236017.5248165646,237004.5064334354,493.4908084353879,0.08194385198863392
62,63,264761.1,263991.1212653083,265531.0662346917,769.9724846917236,0.1043359463614081
63,64,422588.75,421677.3303420608,423500.1696579392,911.4196579391875,0.08187671560214337
64,65,198723.94,198332.69987858954,199115.17512141046,391.23762141047274,0.08859527639408799
65,66,226622.58,226062.4563318201,227182.6999181799,560.121793179899,0.08810769949331396
66,67,282449.97,281540.1998917863,283359.7376082137,909.7688582136828,0.10768567243507451
67,68,271520.84,270434.04064611485,272607.64685388515,1086.8031038851343,0.1262371637120274
68,69,330042.75,329312.9641047297,330772.5358952703,729.7858952702707,0.08031639330545073
69,70,244229.33,243701.78106524493,244756.87518475507,527.5470597550672,0.08098688430758592
70,71,351788.2,350832.3759237753,352743.9990762247,955.8115762246625,0.11213756794624957
71,72,160273.69,159819.7906197213,160727.5843802787,453.8968802787159,0.09355303254751389
72,73,165619.78,165260.8087125211,165978.7537874789,358.972537478886,0.07530952249837687
73,74,227652.62,227078.33406355575,228226.91593644425,574.290936444256,0.10710093078786272
74,75,228750.12,228307.33414273648,229192.91585726352,442.7908572635136,0.06630003441362986
75,76,338884.16,338112.0984084671,339656.2140915329,772.0578415329389,0.08825669861225731
76,77,291420.4,290654.494074641,292186.318425359,765.9121753589525,0.09687577288765585
77,78,145933.31,145579.70749973608,146286.91750026392,353.60500026393555,0.10213180238055534
78,79,201607.75,201104.335970492,202111.164029508,503.4140295080239,0.08325910680303321
79,80,290427.34,289848.6824456292,291006.0050543708,578.6613043707778,0.07594187048146767
80,81,266441.2,265791.1419446791,267091.2330553209,650.0455553209462,0.08344503167640091
81,82,349678.1,348812.8591506546,350543.3283493454,865.2345993454393,0.0995592352791782
82,83,144936.11,144514.8068979624,145357.4118520376,421.30247703758494,0.12196992858323127
83,84,467069.72,466121.055505701,468018.381994299,948.6632442989857,0.07273244037317281
84,85,308508.47,308033.9602107558,308982.9772892442,474.50853924418595,0.06286650870564019
85,86,176452.23,175859.40940403295,177045.05934596705,592.8249709670598,0.1374399394922088
86,87,213771.53,213315.77082453546,214227.29167546454,455.76042546452754,0.08050667244859283
87,88,218556.22,218059.75743639146,219052.68006360854,496.46131360853,0.09185431340498257
88,89,227565.58,227078.12794288428,228053.02830711572,487.4501821157088,0.08032784410213174
89,90,301954.28,301279.6404534417,302628.9220465583,674.6407965582764,0.08465779834284795
90,91,176477.78,176039.98324007602,176915.57925992398,437.7980099239867,0.09644835242358073
91,92,229486.88,228971.19606471705,230002.55393528295,515.6789352829394,0.08247907908979554
92,93,221255.38,220735.3602129962,221775.3897870038,520.0147870038003,0.09114558398975565
93,94,268230.16,267757.5455553209,268702.7669446791,472.61069467905486,0.06534946411275042
94,95,252824.34,252449.28039880702,253199.40710119298,375.0633511929891,0.056515692990231625
95,96,193220.84,192793.10633643897,193648.58116356103,427.73741356102175,0.08378135060912092
96,97,254768.58,254183.36072107265,255353.79552892735,585.2174039273652,0.0868673702589369
97,98,205703.2,205252.7059227196,206153.7003272804,450.4972022804062,0.07667605354062378
98,99,209389.52,208901.8406751478,209877.1905748522,487.6749498521969,0.08838954571753281
99,100,317275.47,316492.2281725084,318058.7093274916,783.2405774915544,0.10156766455765476
100,101,272323.72,271480.1906144426,273167.2468855574,843.5281355574333,0.10589435764182205
